YouTube Search interest: pentatonix
United States; Jan 2008 - Jul 2015

Interest over time
Week,pentatonix
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,0
2010-08-29 - 2010-09-04,0
2010-09-05 - 2010-09-11,0
2010-09-12 - 2010-09-18,0
2010-09-19 - 2010-09-25,0
2010-09-26 - 2010-10-02,0
2010-10-03 - 2010-10-09,0
2010-10-10 - 2010-10-16,0
2010-10-17 - 2010-10-23,0
2010-10-24 - 2010-10-30,0
2010-10-31 - 2010-11-06,0
2010-11-07 - 2010-11-13,0
2010-11-14 - 2010-11-20,0
2010-11-21 - 2010-11-27,0
2010-11-28 - 2010-12-04,0
2010-12-05 - 2010-12-11,0
2010-12-12 - 2010-12-18,0
2010-12-19 - 2010-12-25,0
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,0
2011-01-16 - 2011-01-22,0
2011-01-23 - 2011-01-29,0
2011-01-30 - 2011-02-05,0
2011-02-06 - 2011-02-12,0
2011-02-13 - 2011-02-19,0
2011-02-20 - 2011-02-26,0
2011-02-27 - 2011-03-05,0
2011-03-06 - 2011-03-12,0
2011-03-13 - 2011-03-19,0
2011-03-20 - 2011-03-26,0
2011-03-27 - 2011-04-02,0
2011-04-03 - 2011-04-09,0
2011-04-10 - 2011-04-16,0
2011-04-17 - 2011-04-23,0
2011-04-24 - 2011-04-30,0
2011-05-01 - 2011-05-07,0
2011-05-08 - 2011-05-14,0
2011-05-15 - 2011-05-21,0
2011-05-22 - 2011-05-28,0
2011-05-29 - 2011-06-04,0
2011-06-05 - 2011-06-11,0
2011-06-12 - 2011-06-18,0
2011-06-19 - 2011-06-25,0
2011-06-26 - 2011-07-02,0
2011-07-03 - 2011-07-09,0
2011-07-10 - 2011-07-16,0
2011-07-17 - 2011-07-23,0
2011-07-24 - 2011-07-30,0
2011-07-31 - 2011-08-06,0
2011-08-07 - 2011-08-13,0
2011-08-14 - 2011-08-20,0
2011-08-21 - 2011-08-27,0
2011-08-28 - 2011-09-03,0
2011-09-04 - 2011-09-10,0
2011-09-11 - 2011-09-17,0
2011-09-18 - 2011-09-24,0
2011-09-25 - 2011-10-01,1
2011-10-02 - 2011-10-08,1
2011-10-09 - 2011-10-15,1
2011-10-16 - 2011-10-22,3
2011-10-23 - 2011-10-29,6
2011-10-30 - 2011-11-05,6
2011-11-06 - 2011-11-12,6
2011-11-13 - 2011-11-19,10
2011-11-20 - 2011-11-26,14
2011-11-27 - 2011-12-03,18
2011-12-04 - 2011-12-10,9
2011-12-11 - 2011-12-17,7
2011-12-18 - 2011-12-24,5
2011-12-25 - 2011-12-31,4
2012-01-01 - 2012-01-07,4
2012-01-08 - 2012-01-14,4
2012-01-15 - 2012-01-21,3
2012-01-22 - 2012-01-28,3
2012-01-29 - 2012-02-04,3
2012-02-05 - 2012-02-11,5
2012-02-12 - 2012-02-18,5
2012-02-19 - 2012-02-25,4
2012-02-26 - 2012-03-03,4
2012-03-04 - 2012-03-10,3
2012-03-11 - 2012-03-17,4
2012-03-18 - 2012-03-24,4
2012-03-25 - 2012-03-31,4
2012-04-01 - 2012-04-07,5
2012-04-08 - 2012-04-14,6
2012-04-15 - 2012-04-21,7
2012-04-22 - 2012-04-28,9
2012-04-29 - 2012-05-05,7
2012-05-06 - 2012-05-12,11
2012-05-13 - 2012-05-19,10
2012-05-20 - 2012-05-26,7
2012-05-27 - 2012-06-02,8
2012-06-03 - 2012-06-09,6
2012-06-10 - 2012-06-16,7
2012-06-17 - 2012-06-23,6
2012-06-24 - 2012-06-30,8
2012-07-01 - 2012-07-07,5
2012-07-08 - 2012-07-14,5
2012-07-15 - 2012-07-21,6
2012-07-22 - 2012-07-28,5
2012-07-29 - 2012-08-04,4
2012-08-05 - 2012-08-11,6
2012-08-12 - 2012-08-18,5
2012-08-19 - 2012-08-25,5
2012-08-26 - 2012-09-01,6
2012-09-02 - 2012-09-08,5
2012-09-09 - 2012-09-15,6
2012-09-16 - 2012-09-22,5
2012-09-23 - 2012-09-29,5
2012-09-30 - 2012-10-06,8
2012-10-07 - 2012-10-13,7
2012-10-14 - 2012-10-20,6
2012-10-21 - 2012-10-27,6
2012-10-28 - 2012-11-03,6
2012-11-04 - 2012-11-10,5
2012-11-11 - 2012-11-17,7
2012-11-18 - 2012-11-24,8
2012-11-25 - 2012-12-01,8
2012-12-02 - 2012-12-08,9
2012-12-09 - 2012-12-15,11
2012-12-16 - 2012-12-22,12
2012-12-23 - 2012-12-29,9
2012-12-30 - 2013-01-05,7
2013-01-06 - 2013-01-12,7
2013-01-13 - 2013-01-19,11
2013-01-20 - 2013-01-26,10
2013-01-27 - 2013-02-02,9
2013-02-03 - 2013-02-09,7
2013-02-10 - 2013-02-16,7
2013-02-17 - 2013-02-23,7
2013-02-24 - 2013-03-02,6
2013-03-03 - 2013-03-09,7
2013-03-10 - 2013-03-16,12
2013-03-17 - 2013-03-23,11
2013-03-24 - 2013-03-30,10
2013-03-31 - 2013-04-06,9
2013-04-07 - 2013-04-13,9
2013-04-14 - 2013-04-20,18
2013-04-21 - 2013-04-27,15
2013-04-28 - 2013-05-04,16
2013-05-05 - 2013-05-11,15
2013-05-12 - 2013-05-18,13
2013-05-19 - 2013-05-25,11
2013-05-26 - 2013-06-01,11
2013-06-02 - 2013-06-08,13
2013-06-09 - 2013-06-15,11
2013-06-16 - 2013-06-22,11
2013-06-23 - 2013-06-29,10
2013-06-30 - 2013-07-06,11
2013-07-07 - 2013-07-13,11
2013-07-14 - 2013-07-20,15
2013-07-21 - 2013-07-27,12
2013-07-28 - 2013-08-03,11
2013-08-04 - 2013-08-10,10
2013-08-11 - 2013-08-17,10
2013-08-18 - 2013-08-24,15
2013-08-25 - 2013-08-31,12
2013-09-01 - 2013-09-07,12
2013-09-08 - 2013-09-14,12
2013-09-15 - 2013-09-21,11
2013-09-22 - 2013-09-28,10
2013-09-29 - 2013-10-05,24
2013-10-06 - 2013-10-12,26
2013-10-13 - 2013-10-19,21
2013-10-20 - 2013-10-26,21
2013-10-27 - 2013-11-02,27
2013-11-03 - 2013-11-09,54
2013-11-10 - 2013-11-16,43
2013-11-17 - 2013-11-23,36
2013-11-24 - 2013-11-30,49
2013-12-01 - 2013-12-07,100
2013-12-08 - 2013-12-14,81
2013-12-15 - 2013-12-21,75
2013-12-22 - 2013-12-28,68
2013-12-29 - 2014-01-04,36
2014-01-05 - 2014-01-11,31
2014-01-12 - 2014-01-18,32
2014-01-19 - 2014-01-25,27
2014-01-26 - 2014-02-01,38
2014-02-02 - 2014-02-08,30
2014-02-09 - 2014-02-15,29
2014-02-16 - 2014-02-22,27
2014-02-23 - 2014-03-01,36
2014-03-02 - 2014-03-08,37
2014-03-09 - 2014-03-15,37
2014-03-16 - 2014-03-22,35
2014-03-23 - 2014-03-29,31
2014-03-30 - 2014-04-05,27
2014-04-06 - 2014-04-12,25
2014-04-13 - 2014-04-19,24
2014-04-20 - 2014-04-26,22
2014-04-27 - 2014-05-03,21
2014-05-04 - 2014-05-10,18
2014-05-11 - 2014-05-17,19
2014-05-18 - 2014-05-24,23
2014-05-25 - 2014-05-31,23
2014-06-01 - 2014-06-07,18
2014-06-08 - 2014-06-14,18
2014-06-15 - 2014-06-21,17
2014-06-22 - 2014-06-28,20
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,16
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,16
2014-08-03 - 2014-08-09,20
2014-08-10 - 2014-08-16,22
2014-08-17 - 2014-08-23,19
2014-08-24 - 2014-08-30,19
2014-08-31 - 2014-09-06,24
2014-09-07 - 2014-09-13,26
2014-09-14 - 2014-09-20,25
2014-09-21 - 2014-09-27,28
2014-09-28 - 2014-10-04,26
2014-10-05 - 2014-10-11,27
2014-10-12 - 2014-10-18,23
2014-10-19 - 2014-10-25,29
2014-10-26 - 2014-11-01,26
2014-11-02 - 2014-11-08,27
2014-11-09 - 2014-11-15,34
2014-11-16 - 2014-11-22,67
2014-11-23 - 2014-11-29,69
2014-11-30 - 2014-12-06,85
2014-12-07 - 2014-12-13,93
2014-12-14 - 2014-12-20,95
2014-12-21 - 2014-12-27,86
2014-12-28 - 2015-01-03,39
2015-01-04 - 2015-01-10,32
2015-01-11 - 2015-01-17,27
2015-01-18 - 2015-01-24,25
2015-01-25 - 2015-01-31,23
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,28
2015-02-15 - 2015-02-21,20
2015-02-22 - 2015-02-28,29
2015-03-01 - 2015-03-07,26
2015-03-08 - 2015-03-14,24
2015-03-15 - 2015-03-21,23
2015-03-22 - 2015-03-28,22
2015-03-29 - 2015-04-04,20
2015-04-05 - 2015-04-11,19
2015-04-12 - 2015-04-18,19
2015-04-19 - 2015-04-25,19
2015-04-26 - 2015-05-02,18
2015-05-03 - 2015-05-09,18
2015-05-10 - 2015-05-16,20
2015-05-17 - 2015-05-23,21
2015-05-24 - 2015-05-30,18
2015-05-31 - 2015-06-06,21
2015-06-07 - 2015-06-13,23
2015-06-14 - 2015-06-20,25
2015-06-21 - 2015-06-27,36
2015-06-28 - 2015-07-04,26
2015-07-05 - 2015-07-11,21
2015-07-12 - 2015-07-18,21
2015-07-19 - 2015-07-25,18
2015-07-26 - 2015-08-01,20


Top sub-regions for pentatonix
Sub-region,pentatonix
Idaho,100
Utah,93
Iowa,89
Wyoming,87
Montana,85
Hawaii,80
Nebraska,77
Arkansas,75
South Dakota,73
Kansas,72
Wisconsin,71
North Dakota,70
Indiana,69
Alaska,66
Tennessee,66
Minnesota,65
Colorado,64
Oklahoma,64
Missouri,63
Ohio,61
Washington,60
North Carolina,58
South Carolina,57
Oregon,57
Pennsylvania,56
Maine,56
Vermont,55
Michigan,55
Kentucky,54
New Hampshire,54
New Mexico,54
West Virginia,53
Alabama,53
Delaware,51
Maryland,51
Texas,50
Arizona,49
Massachusetts,48
Georgia,47
Illinois,45
Connecticut,44
Mississippi,43
Nevada,42
Rhode Island,42
Florida,41
Louisiana,40
New York,39
California,37
New Jersey,37
Virginia,35
District of Columbia,26


Top metros for pentatonix
Metro,pentatonix
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,100
Wichita-Hutchinson KS,93
Salt Lake City UT,91
Des Moines-Ames IA,88
Colorado Springs-Pueblo CO,82
Honolulu HI,80
Little Rock-Pine Bluff AR,79
Spokane WA,77
Milwaukee WI,75
Toledo OH,74
Dayton OH,72
Harrisburg-Lancaster-Lebanon-York PA,70
Greenville-Spartanburg SC-Asheville NC-Anderson SC,68
Grand Rapids-Kalamazoo-Battle Creek MI,66
Minneapolis-St. Paul MN,66
Indianapolis IN,64
Richmond-Petersburg VA,64
Charlotte NC,63
Denver CO,62
Kansas City MO,61
Cincinnati OH,61
Seattle-Tacoma WA,60
Nashville TN,59
Portland OR,57
Oklahoma City OK,56
Albany-Schenectady-Troy NY,54
Boston MA-Manchester NH,53
Cleveland-Akron (Canton) OH,53
Columbus OH,53
Austin TX,52
Greensboro-High Point-Winston Salem NC,52
Baltimore MD,52
Raleigh-Durham (Fayetteville) NC,52
Norfolk-Portsmouth-Newport News VA,52
St. Louis MO,49
Tampa-St. Petersburg (Sarasota) FL,48
Philadelphia PA,46
Dallas-Ft. Worth TX,46
Orlando-Daytona Beach-Melbourne FL,45
Phoenix AZ,45
Atlanta GA,44
Sacramento-Stockton-Modesto CA,44
Las Vegas NV,43
San Diego CA,42
Hartford & New Haven CT,41
Houston TX,41
Chicago IL,40
Pittsburgh PA,40
Detroit MI,39
Los Angeles CA,38
San Antonio TX,35
New York NY,35
San Francisco-Oakland-San Jose CA,30
Washington DC (Hagerstown MD),28
Miami-Ft. Lauderdale FL,22
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0


Top cities for pentatonix
Town/City,pentatonix
Portland,100
San Jose,95
Denver,90
San Diego,83
Boston,82
San Antonio,80
Seattle,76
New York,73
Houston,70
Philadelphia,70
Phoenix,66
Washington,57
Dallas,55
San Francisco,54
Chicago,51



Top searches for pentatonix
the pentatonix,100
pentatonix daft punk,40
daft punk,40
radioactive pentatonix,35
radioactive,35
pentatonix drummer boy,30
sing off pentatonix,25
sing off,25
little drummer boy,25
pentatonix christmas,20
royals,20
pentatonix royals,20
evolution of music,15
pentatonix say something,15
pentatonix frozen,15
pentatonix live,10
thrift shop pentatonix,10
the sing off,10
pentatonix beyonce,10
pentatonix dog days,10
lindsey stirling,10
lindsey stirling pentatonix,10
aha pentatonix,5
pentatonix christmas songs,5
gangnam style pentatonix,5
wizard of ahhhs,5
pentatonix love lockdown,5
superfruit,5
happy pentatonix,5
love again pentatonix,5
problem pentatonix,5
pentatonix playlist,5
pentatonix rather be,5
pentatonix gotye,5
starships pentatonix,5
home free,5



Rising searches for pentatonix
daft punk,Breakout
little drummer boy,Breakout
pentatonix christmas,Breakout
pentatonix daft punk,Breakout
pentatonix drummer boy,Breakout
pentatonix royals,Breakout
radioactive,Breakout
radioactive pentatonix,Breakout
royals,Breakout
sing off,Breakout



