YouTube Search interest: iggy azalea
United States; Jan 2008 - Jul 2015

Interest over time
Week,iggy azalea
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,0
2010-08-29 - 2010-09-04,0
2010-09-05 - 2010-09-11,0
2010-09-12 - 2010-09-18,0
2010-09-19 - 2010-09-25,0
2010-09-26 - 2010-10-02,0
2010-10-03 - 2010-10-09,0
2010-10-10 - 2010-10-16,0
2010-10-17 - 2010-10-23,0
2010-10-24 - 2010-10-30,0
2010-10-31 - 2010-11-06,0
2010-11-07 - 2010-11-13,0
2010-11-14 - 2010-11-20,0
2010-11-21 - 2010-11-27,0
2010-11-28 - 2010-12-04,0
2010-12-05 - 2010-12-11,0
2010-12-12 - 2010-12-18,0
2010-12-19 - 2010-12-25,0
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,0
2011-01-16 - 2011-01-22,0
2011-01-23 - 2011-01-29,0
2011-01-30 - 2011-02-05,0
2011-02-06 - 2011-02-12,0
2011-02-13 - 2011-02-19,0
2011-02-20 - 2011-02-26,0
2011-02-27 - 2011-03-05,0
2011-03-06 - 2011-03-12,0
2011-03-13 - 2011-03-19,0
2011-03-20 - 2011-03-26,0
2011-03-27 - 2011-04-02,0
2011-04-03 - 2011-04-09,0
2011-04-10 - 2011-04-16,0
2011-04-17 - 2011-04-23,0
2011-04-24 - 2011-04-30,0
2011-05-01 - 2011-05-07,0
2011-05-08 - 2011-05-14,0
2011-05-15 - 2011-05-21,0
2011-05-22 - 2011-05-28,0
2011-05-29 - 2011-06-04,0
2011-06-05 - 2011-06-11,0
2011-06-12 - 2011-06-18,0
2011-06-19 - 2011-06-25,0
2011-06-26 - 2011-07-02,0
2011-07-03 - 2011-07-09,0
2011-07-10 - 2011-07-16,0
2011-07-17 - 2011-07-23,0
2011-07-24 - 2011-07-30,0
2011-07-31 - 2011-08-06,0
2011-08-07 - 2011-08-13,0
2011-08-14 - 2011-08-20,0
2011-08-21 - 2011-08-27,0
2011-08-28 - 2011-09-03,0
2011-09-04 - 2011-09-10,0
2011-09-11 - 2011-09-17,0
2011-09-18 - 2011-09-24,0
2011-09-25 - 2011-10-01,0
2011-10-02 - 2011-10-08,0
2011-10-09 - 2011-10-15,0
2011-10-16 - 2011-10-22,0
2011-10-23 - 2011-10-29,0
2011-10-30 - 2011-11-05,0
2011-11-06 - 2011-11-12,1
2011-11-13 - 2011-11-19,1
2011-11-20 - 2011-11-26,1
2011-11-27 - 2011-12-03,0
2011-12-04 - 2011-12-10,1
2011-12-11 - 2011-12-17,1
2011-12-18 - 2011-12-24,1
2011-12-25 - 2011-12-31,1
2012-01-01 - 2012-01-07,1
2012-01-08 - 2012-01-14,1
2012-01-15 - 2012-01-21,1
2012-01-22 - 2012-01-28,1
2012-01-29 - 2012-02-04,1
2012-02-05 - 2012-02-11,1
2012-02-12 - 2012-02-18,1
2012-02-19 - 2012-02-25,1
2012-02-26 - 2012-03-03,3
2012-03-04 - 2012-03-10,2
2012-03-11 - 2012-03-17,2
2012-03-18 - 2012-03-24,2
2012-03-25 - 2012-03-31,4
2012-04-01 - 2012-04-07,2
2012-04-08 - 2012-04-14,3
2012-04-15 - 2012-04-21,3
2012-04-22 - 2012-04-28,3
2012-04-29 - 2012-05-05,2
2012-05-06 - 2012-05-12,2
2012-05-13 - 2012-05-19,2
2012-05-20 - 2012-05-26,2
2012-05-27 - 2012-06-02,2
2012-06-03 - 2012-06-09,2
2012-06-10 - 2012-06-16,2
2012-06-17 - 2012-06-23,2
2012-06-24 - 2012-06-30,3
2012-07-01 - 2012-07-07,2
2012-07-08 - 2012-07-14,2
2012-07-15 - 2012-07-21,2
2012-07-22 - 2012-07-28,3
2012-07-29 - 2012-08-04,3
2012-08-05 - 2012-08-11,2
2012-08-12 - 2012-08-18,2
2012-08-19 - 2012-08-25,2
2012-08-26 - 2012-09-01,2
2012-09-02 - 2012-09-08,2
2012-09-09 - 2012-09-15,2
2012-09-16 - 2012-09-22,1
2012-09-23 - 2012-09-29,2
2012-09-30 - 2012-10-06,1
2012-10-07 - 2012-10-13,2
2012-10-14 - 2012-10-20,2
2012-10-21 - 2012-10-27,2
2012-10-28 - 2012-11-03,2
2012-11-04 - 2012-11-10,1
2012-11-11 - 2012-11-17,2
2012-11-18 - 2012-11-24,2
2012-11-25 - 2012-12-01,1
2012-12-02 - 2012-12-08,1
2012-12-09 - 2012-12-15,1
2012-12-16 - 2012-12-22,1
2012-12-23 - 2012-12-29,2
2012-12-30 - 2013-01-05,1
2013-01-06 - 2013-01-12,1
2013-01-13 - 2013-01-19,1
2013-01-20 - 2013-01-26,1
2013-01-27 - 2013-02-02,1
2013-02-03 - 2013-02-09,1
2013-02-10 - 2013-02-16,1
2013-02-17 - 2013-02-23,1
2013-02-24 - 2013-03-02,1
2013-03-03 - 2013-03-09,1
2013-03-10 - 2013-03-16,4
2013-03-17 - 2013-03-23,4
2013-03-24 - 2013-03-30,4
2013-03-31 - 2013-04-06,3
2013-04-07 - 2013-04-13,3
2013-04-14 - 2013-04-20,4
2013-04-21 - 2013-04-27,5
2013-04-28 - 2013-05-04,5
2013-05-05 - 2013-05-11,5
2013-05-12 - 2013-05-18,4
2013-05-19 - 2013-05-25,5
2013-05-26 - 2013-06-01,5
2013-06-02 - 2013-06-08,5
2013-06-09 - 2013-06-15,5
2013-06-16 - 2013-06-22,7
2013-06-23 - 2013-06-29,6
2013-06-30 - 2013-07-06,7
2013-07-07 - 2013-07-13,8
2013-07-14 - 2013-07-20,7
2013-07-21 - 2013-07-27,6
2013-07-28 - 2013-08-03,5
2013-08-04 - 2013-08-10,5
2013-08-11 - 2013-08-17,5
2013-08-18 - 2013-08-24,5
2013-08-25 - 2013-08-31,13
2013-09-01 - 2013-09-07,7
2013-09-08 - 2013-09-14,9
2013-09-15 - 2013-09-21,7
2013-09-22 - 2013-09-28,6
2013-09-29 - 2013-10-05,6
2013-10-06 - 2013-10-12,5
2013-10-13 - 2013-10-19,5
2013-10-20 - 2013-10-26,5
2013-10-27 - 2013-11-02,4
2013-11-03 - 2013-11-09,5
2013-11-10 - 2013-11-16,6
2013-11-17 - 2013-11-23,5
2013-11-24 - 2013-11-30,4
2013-12-01 - 2013-12-07,4
2013-12-08 - 2013-12-14,4
2013-12-15 - 2013-12-21,3
2013-12-22 - 2013-12-28,3
2013-12-29 - 2014-01-04,4
2014-01-05 - 2014-01-11,4
2014-01-12 - 2014-01-18,3
2014-01-19 - 2014-01-25,3
2014-01-26 - 2014-02-01,3
2014-02-02 - 2014-02-08,3
2014-02-09 - 2014-02-15,3
2014-02-16 - 2014-02-22,4
2014-02-23 - 2014-03-01,4
2014-03-02 - 2014-03-08,12
2014-03-09 - 2014-03-15,12
2014-03-16 - 2014-03-22,11
2014-03-23 - 2014-03-29,10
2014-03-30 - 2014-04-05,14
2014-04-06 - 2014-04-12,17
2014-04-13 - 2014-04-19,21
2014-04-20 - 2014-04-26,35
2014-04-27 - 2014-05-03,54
2014-05-04 - 2014-05-10,62
2014-05-11 - 2014-05-17,68
2014-05-18 - 2014-05-24,100
2014-05-25 - 2014-05-31,96
2014-06-01 - 2014-06-07,96
2014-06-08 - 2014-06-14,88
2014-06-15 - 2014-06-21,83
2014-06-22 - 2014-06-28,83
2014-06-29 - 2014-07-05,90
2014-07-06 - 2014-07-12,84
2014-07-13 - 2014-07-19,98
2014-07-20 - 2014-07-26,81
2014-07-27 - 2014-08-02,76
2014-08-03 - 2014-08-09,81
2014-08-10 - 2014-08-16,84
2014-08-17 - 2014-08-23,84
2014-08-24 - 2014-08-30,96
2014-08-31 - 2014-09-06,81
2014-09-07 - 2014-09-13,73
2014-09-14 - 2014-09-20,82
2014-09-21 - 2014-09-27,77
2014-09-28 - 2014-10-04,58
2014-10-05 - 2014-10-11,50
2014-10-12 - 2014-10-18,50
2014-10-19 - 2014-10-25,44
2014-10-26 - 2014-11-01,49
2014-11-02 - 2014-11-08,44
2014-11-09 - 2014-11-15,38
2014-11-16 - 2014-11-22,36
2014-11-23 - 2014-11-29,47
2014-11-30 - 2014-12-06,35
2014-12-07 - 2014-12-13,33
2014-12-14 - 2014-12-20,31
2014-12-21 - 2014-12-27,32
2014-12-28 - 2015-01-03,33
2015-01-04 - 2015-01-10,27
2015-01-11 - 2015-01-17,23
2015-01-18 - 2015-01-24,19
2015-01-25 - 2015-01-31,19
2015-02-01 - 2015-02-07,18
2015-02-08 - 2015-02-14,19
2015-02-15 - 2015-02-21,17
2015-02-22 - 2015-02-28,17
2015-03-01 - 2015-03-07,18
2015-03-08 - 2015-03-14,18
2015-03-15 - 2015-03-21,16
2015-03-22 - 2015-03-28,21
2015-03-29 - 2015-04-04,23
2015-04-05 - 2015-04-11,20
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,17
2015-04-26 - 2015-05-02,15
2015-05-03 - 2015-05-09,19
2015-05-10 - 2015-05-16,23
2015-05-17 - 2015-05-23,23
2015-05-24 - 2015-05-30,20
2015-05-31 - 2015-06-06,18
2015-06-07 - 2015-06-13,16
2015-06-14 - 2015-06-20,15
2015-06-21 - 2015-06-27,13
2015-06-28 - 2015-07-04,13
2015-07-05 - 2015-07-11,10
2015-07-12 - 2015-07-18,10
2015-07-19 - 2015-07-25,9
2015-07-26 - 2015-08-01,8


Top sub-regions for iggy azalea
Sub-region,iggy azalea
South Carolina,100
Delaware,100
Iowa,97
North Carolina,96
West Virginia,96
Arizona,93
Florida,91
Maryland,91
New Mexico,89
Kentucky,89
New York,88
Wisconsin,88
Ohio,87
Pennsylvania,87
Alabama,87
Nevada,87
Indiana,86
Nebraska,86
Louisiana,85
Rhode Island,85
Montana,85
Minnesota,84
North Dakota,84
Georgia,84
Tennessee,83
Kansas,82
Oklahoma,82
Hawaii,81
South Dakota,80
Arkansas,79
Wyoming,79
Michigan,79
Maine,78
New Jersey,77
Texas,77
Massachusetts,75
Missouri,74
Colorado,74
Illinois,74
Idaho,72
California,72
Mississippi,71
Vermont,70
Connecticut,70
Oregon,70
Washington,69
Alaska,68
New Hampshire,67
Utah,64
Virginia,52
District of Columbia,46


Top metros for iggy azalea
Metro,iggy azalea
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,100
Greenville-New Bern-Washington NC,97
Des Moines-Ames IA,95
Tulsa OK,93
Richmond-Petersburg VA,86
Buffalo NY,85
Cincinnati OH,85
Norfolk-Portsmouth-Newport News VA,84
Wichita-Hutchinson KS,84
Harrisburg-Lancaster-Lebanon-York PA,83
Charlotte NC,83
Birmingham AL,81
Providence RI-New Bedford MA,81
Orlando-Daytona Beach-Melbourne FL,81
Las Vegas NV,80
Greenville-Spartanburg SC-Asheville NC-Anderson SC,80
Mobile AL-Pensacola (Ft. Walton Beach) FL,80
Albuquerque-Santa Fe NM,79
Waco-Temple-Bryan TX,79
Columbia SC,79
Greensboro-High Point-Winston Salem NC,79
Tucson (Sierra Vista) AZ,79
Roanoke-Lynchburg VA,77
Raleigh-Durham (Fayetteville) NC,77
Minneapolis-St. Paul MN,77
Charleston-Huntington WV,77
Tampa-St. Petersburg (Sarasota) FL,76
Cleveland-Akron (Canton) OH,76
Lexington KY,76
Jacksonville FL,75
Harlingen-Weslaco-Brownsville-McAllen TX,75
Pittsburgh PA,75
New York NY,75
Phoenix AZ,74
Santa Barbara-Santa Maria-San Luis Obispo CA,74
West Palm Beach-Ft. Pierce FL,74
Denver CO,73
Knoxville TN,73
Philadelphia PA,73
Toledo OH,73
Baltimore MD,72
Memphis TN,72
Columbus OH,72
Green Bay-Appleton WI,71
Colorado Springs-Pueblo CO,71
San Antonio TX,71
New Orleans LA,71
Portland-Auburn ME,70
Honolulu HI,70
Albany-Schenectady-Troy NY,69
Little Rock-Pine Bluff AR,69
Miami-Ft. Lauderdale FL,69
Burlington VT-Plattsburgh NY,69
Sacramento-Stockton-Modesto CA,69
Houston TX,68
Milwaukee WI,68
Nashville TN,68
Kansas City MO,68
Madison WI,67
Grand Rapids-Kalamazoo-Battle Creek MI,66
Omaha NE,66
Detroit MI,66
Austin TX,66
Atlanta GA,66
Syracuse NY,65
Boston MA-Manchester NH,65
Flint-Saginaw-Bay City MI,64
Indianapolis IN,64
Oklahoma City OK,64
San Diego CA,62
Wilkes Barre-Scranton PA,62
Hartford & New Haven CT,61
Dayton OH,61
Spokane WA,60
Los Angeles CA,60
Fresno-Visalia CA,59
Louisville KY,59
St. Louis MO,59
Salt Lake City UT,59
Chicago IL,57
Rochester NY,57
Seattle-Tacoma WA,56
Portland OR,56
Dallas-Ft. Worth TX,49
Washington DC (Hagerstown MD),41
San Francisco-Oakland-San Jose CA,41
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for iggy azalea
Town/City,iggy azalea
New York,100
Philadelphia,75
Charlotte,73
Houston,73
San Jose,72
Austin,69
San Antonio,67
Portland,67
San Diego,65
Los Angeles,65
Phoenix,60
Washington,52
Chicago,50
Seattle,49
San Francisco,44



Top searches for iggy azalea
iggy azalea fancy,100
fancy,100
fancy iggy,95
widow iggy azalea,45
black widow,45
rita ora,35
work,30
iggy azalea work,30
ariana grande,20
problem iggy azalea,15
problem,15
problem ariana grande,10
pu$$y iggy azalea,10
iggy azalea live,5
beg for it,5
iggy azalea interview,5
anaconda,5
anaconda nicki minaj,5
iggy azalea booty,5
bounce iggy azalea,5
iggy azalea twerk,5
wiggle,5
charli xcx,5
pretty girls,5
wiggle jason derulo,5
iggy azalea freestyle,5
jlo iggy azalea,5
trouble iggy azalea,5
shake it off,5
sia chandelier,0
no mediocre,0
rude magic,0
becky g,0
azealia banks,0
iggy azalea album,0



Rising searches for iggy azalea
ariana grande,Breakout
black widow,Breakout
fancy,Breakout
fancy iggy,Breakout
iggy azalea fancy,Breakout
iggy azalea work,Breakout
problem,Breakout
problem ariana grande,Breakout
problem iggy azalea,Breakout
pu$$y iggy azalea,Breakout



